,Market,title,price
0,carrefour SA,Beypazarı Doğal Maden Suyu 6x200 ml,"21,90 TL"
1,carrefour SA,Sarıkız Doğal Maden Suyu 6 X 250 ml,"19,40 TL"
2,carrefour SA,Sırma Doğal Maden Suyu 6x200 ml,"18,75 TL"
3,carrefour SA,Kızılay Doğal Maden Suyu 6x200 ml,"19,90 TL"
4,carrefour SA,Uludağ Doğal Maden Suyu 6x200 ml,"21,90 TL"
5,carrefour SA,Akmina Doğal Maden Suyu Pet 250 ml,"3,45 TL"
6,carrefour SA,Damla Minera Minarelli Su Cam 6x200 ml,"20,50 TL"
7,carrefour SA,Sırma Doğal Maden Suyu 1 Litre,"10,45 TL"
8,carrefour SA,Uludağ Premium Doğal Zengin Maden Suyu 250 ml,"13,80 TL"
9,carrefour SA,Uludağ Maden Suyu 6x250 ml,"26,90 TL"
10,carrefour SA,Akmina Maden Suyu 1 Litre Pet,"10,75 TL"
11,carrefour SA,San Pellegrino Spark Natural 250 ml,"30,45 TL"
12,carrefour SA,Saka Maden Suyu 6x200 ml,"20,75 TL"
13,carrefour SA,Damla Minera Mineralli Su Cam Premium Şişe 330 ml,"12,50 TL"
14,carrefour SA,Perrier Doğal Mineralli Su 200 ml,"26,95 TL"
0,migros,Sırma Doğal Maden Suyu 6x200 Ml Cam,"18,75 TL"
1,migros,Kızılay Afyonkarahisar Doğal Maden Suyu 6x200 Ml,"18,75 TL"
2,migros,Uludağ Doğal Maden Suyu 6X200 Ml,"21,90 TL"
3,migros,Damla Minera Minarelli Su Cam 6X200 Ml,"20,50 TL"
4,migros,Kınık Maden Suyu 6X200 Ml,"18,75 TL"
5,migros,Saka Doğal Maden Suyu 6X200 Ml,"20,75 TL"
6,migros,Sırma Doğal Maden Suyu 6x250 Ml Pet,"18,95 TL"
7,migros,Perrier - Doğal Mineralli Su - 6 X 200 Ml,"147,65 TL"
8,migros,Perrıer Maden Suyu 4X330 Ml,"122,25 TL"
9,migros,Perrier Doğal Mineralli Su 750 Ml,"52,95 TL"
10,migros,Damla Minera Maden Suyu 200Ml,"3,50 TL"
11,migros,Damla Minera Mineralli Su Cam Premium Şişe 330 Ml,"12,50 TL"
12,migros,Sırma Exclusive Doğal Maden Suyu 330 Ml Cam,"12,95 TL"
0,A101,Beypazarı Maden Suyu 200 ml,"₺3,95"
0,SOK Market,Eskipazar Maden Suyu 200 Ml,"3,90"
1,SOK Market,Eskipazar Maden Suyu 6x200ml,"18,75"
2,SOK Market,Kızılay Sade Maden Suyu 6*200 Ml,"18,75"
